threads,run,integral,time_seconds,timestamp
1,1,5.500539,0.35383,2025-05-14T03:50:12.479443
1,2,5.500539,0.338147,2025-05-14T03:50:12.819239
1,3,5.500539,0.340676,2025-05-14T03:50:13.161244
1,4,5.500539,0.337189,2025-05-14T03:50:13.499774
1,5,5.500539,0.337513,2025-05-14T03:50:13.838748
1,1,5.500539,0.332515,2025-05-14T03:50:14.172777
1,2,5.500539,0.335896,2025-05-14T03:50:14.510326
1,3,5.500539,0.335077,2025-05-14T03:50:14.846559
1,4,5.500539,0.338736,2025-05-14T03:50:15.186525
1,5,5.500539,0.343249,2025-05-14T03:50:15.531293
1,1,5.500539,0.332988,2025-05-14T03:50:15.865700
1,2,5.500539,0.331496,2025-05-14T03:50:16.198639
1,3,5.500539,0.332383,2025-05-14T03:50:16.532459
1,4,5.500539,0.338367,2025-05-14T03:50:16.872241
1,5,5.500539,0.341592,2025-05-14T03:50:17.215233
1,1,5.500539,0.339112,2025-05-14T03:50:17.555710
1,2,5.500539,0.333697,2025-05-14T03:50:17.890943
1,3,5.500539,0.339383,2025-05-14T03:50:18.231646
1,4,5.500539,0.334796,2025-05-14T03:50:18.568126
1,5,5.500539,0.337931,2025-05-14T03:50:18.907302
1,1,5.500539,0.338696,2025-05-14T03:50:19.247224
1,2,5.500539,0.347096,2025-05-14T03:50:19.595901
1,3,5.500539,0.331926,2025-05-14T03:50:19.929252
1,4,5.500539,0.338536,2025-05-14T03:50:20.269511
1,5,5.500539,0.337688,2025-05-14T03:50:20.608562
1,1,5.500539,0.336732,2025-05-14T03:50:20.946561
1,2,5.500539,0.344174,2025-05-14T03:50:21.292126
1,3,5.500539,0.344269,2025-05-14T03:50:21.637757
1,4,5.500539,0.344589,2025-05-14T03:50:21.983843
1,5,5.500539,0.330795,2025-05-14T03:50:22.316203
1,1,5.500539,0.331605,2025-05-14T03:50:22.649268
1,2,5.500539,0.330915,2025-05-14T03:50:22.981592
1,3,5.500539,0.348963,2025-05-14T03:50:23.331946
1,4,5.500539,0.332024,2025-05-14T03:50:23.665267
1,5,5.500539,0.339268,2025-05-14T03:50:24.006224
1,1,5.500539,0.336661,2025-05-14T03:50:24.344276
1,2,5.500539,0.340327,2025-05-14T03:50:24.686222
1,3,5.500539,0.346295,2025-05-14T03:50:25.033848
1,4,5.500539,0.335284,2025-05-14T03:50:25.370535
1,5,5.500539,0.339567,2025-05-14T03:50:25.711347
2,1,5.500539,0.269612,2025-05-14T03:50:25.982263
2,2,5.500539,0.270079,2025-05-14T03:50:26.253759
2,3,5.500539,0.262266,2025-05-14T03:50:26.517689
